# N=1000000000 D=10000 squarefree_d=6083 time=27.9s (table 13.2s)
# pi_2(N)=3424506  x/log^2x=2328539.5
# sum_{d<=D sqfree} |Lambda_d| = 5663877  ratio to x/log^2x = 2.4324  ratio to pi_2 = 1.6539
# max |Lambda_d|/A_d = 5.145e-3 at d=9598   max |Lambda_d| = 26570 at d=5
# d	omega	A_d	Lambda_d	Lambda_d/A_d	Lambda_d*sqrt(d/x)
1358	3	2945509	1562	5.303e-4	1.8202
1361	1	1469507	708	4.818e-4	0.8260
1362	3	2936858	-177	-6.027e-5	-0.2066
1363	2	2934703	160	5.452e-5	0.1868
1365	4	11721611	-6760	-5.767e-4	-7.8979
1366	2	1464129	32	2.186e-5	0.0374
1367	1	1463057	-334	-2.283e-4	-0.3905
1370	3	2919709	-898	-3.076e-4	-1.0511
1371	2	2917578	-953	-3.266e-4	-1.1159
1373	1	1456665	1092	7.497e-4	1.2796
1374	3	2911209	-2802	-9.625e-4	-3.2844
1378	3	2902758	1777	6.122e-4	2.0860
1379	2	2900653	-12	-4.137e-6	-0.0141
1381	1	1448225	1010	6.974e-4	1.1869
1382	2	1447179	-1132	-7.822e-4	-1.3308
1383	2	2892263	1592	5.504e-4	1.8722
1385	2	2888086	-51	-1.766e-5	-0.0600
1387	2	2883922	-2083	-7.223e-4	-2.4532
1389	2	2879770	-61	-2.118e-5	-0.0719
1390	3	2877698	2877	9.998e-4	3.3919
1391	2	2875629	758	2.636e-4	0.8940
1393	2	2871501	-882	-3.072e-4	-1.0410
1394	3	2869441	-3160	-1.101e-3	-3.7309
1397	2	2863278	-317	-1.107e-4	-0.3747
1398	3	2861230	729	2.548e-4	0.8619
1399	1	1429593	110	7.694e-5	0.1301
1401	2	2855103	1444	5.058e-4	1.7092
1402	2	1426533	-544	-3.813e-4	-0.6441
1403	2	2851034	1673	5.868e-4	1.9816
1405	2	2846975	1908	6.702e-4	2.2616
1406	3	2844950	325	1.142e-4	0.3854
1407	3	5685857	1972	3.468e-4	2.3391
1409	1	1419447	494	3.480e-4	0.5864
1410	4	5673759	1110	1.956e-4	1.3181
1411	2	2834870	1955	6.896e-4	2.3223
1414	3	2828854	219	7.742e-5	0.2604
1415	2	2826854	-2637	-9.328e-4	-3.1368
1417	2	2822866	-1209	-4.283e-4	-1.4392
1418	2	1410437	764	5.417e-4	0.9098
1419	3	5637773	430	7.627e-5	0.5122
1423	1	1405481	-680	-4.838e-4	-0.8112
1426	3	2805050	155	5.526e-5	0.1851
1427	1	1401541	1080	7.706e-4	1.2901
1429	1	1399581	112	8.002e-5	0.1339
1430	4	5594406	-4259	-7.613e-4	-5.0930
1433	1	1395673	-554	-3.969e-4	-0.6632
1434	3	2789401	-974	-3.492e-4	-1.1664
1435	3	5574913	1428	2.561e-4	1.7106
1437	2	2783577	1672	6.007e-4	2.0043
1438	2	1390821	100	7.190e-5	0.1199
1439	1	1389855	1114	8.015e-4	1.3363
1441	2	2775850	-1215	-4.377e-4	-1.4585
1442	3	2773925	358	1.291e-4	0.4299
1443	3	5544006	-2783	-5.020e-4	-3.3431
1446	3	2766251	-1382	-4.996e-4	-1.6619
1447	1	1382171	494	3.574e-4	0.5942
1451	1	1378359	2440	1.770e-3	2.9392
1453	1	1376463	772	5.609e-4	0.9306
1454	2	1375515	-952	-6.921e-4	-1.1479
1455	3	5498281	-5002	-9.097e-4	-6.0336
1457	2	2745366	1809	6.589e-4	2.1836
1459	1	1370801	1332	9.717e-4	1.6089
1461	2	2737851	-124	-4.529e-5	-0.1499
1462	3	2735978	4017	1.468e-3	4.8571
1463	3	5468216	2545	4.654e-4	3.0783
1465	2	2730375	88	3.223e-5	0.1065
1466	2	1364257	-676	-4.955e-4	-0.8185
1469	2	2722941	164	6.023e-5	0.1988
1471	1	1359619	112	8.238e-5	0.1358
1473	2	2715546	373	1.374e-4	0.4527
1474	3	2713705	-76	-2.801e-5	-0.0923
1477	2	2708193	300	1.108e-4	0.3646
1478	2	1353179	-1118	-8.262e-4	-1.3592
1479	3	5409060	-1307	-2.416e-4	-1.5895
1481	1	1350439	564	4.176e-4	0.6864
1482	4	5398110	321	5.947e-5	0.3908
1483	1	1348617	1978	1.467e-3	2.4088
1486	2	1345895	18	1.337e-5	0.0219
1487	1	1344989	-352	-2.617e-4	-0.4292
1489	1	1343183	722	5.375e-4	0.8810
1490	3	2684563	1120	4.172e-4	1.3671
1491	3	5365527	-26	-4.846e-6	-0.0317
1493	1	1339585	1748	1.305e-3	2.1359
1495	3	5351170	-531	-9.923e-5	-0.6493
1497	2	2672011	-660	-2.470e-4	-0.8075
1498	3	2670227	-1238	-4.636e-4	-1.5152
1499	1	1334223	166	1.244e-4	0.2032
1501	2	2664890	-1	-3.753e-7	-0.0012
1502	2	1331557	-90	-6.759e-5	-0.1103
1505	3	5315614	-3051	-5.740e-4	-3.7429
1506	3	2656042	-795	-2.993e-4	-0.9756
1507	2	2654281	-866	-3.263e-4	-1.0631
1509	2	2650762	-107	-4.037e-5	-0.1314
1510	3	2649006	3403	1.285e-3	4.1817
1511	1	1323627	-540	-4.080e-4	-0.6638
1513	2	2643755	-1838	-6.952e-4	-2.2608
1514	2	1321003	30	2.271e-5	0.0369
1515	3	5280529	4244	8.037e-4	5.2237
1517	2	2636783	-556	-2.109e-4	-0.6848
1518	4	5270092	311	5.901e-5	0.3832
1522	2	1314061	64	4.870e-5	0.0790
1523	1	1313197	-1734	-1.320e-3	-2.1399
1526	3	2621231	-2774	-1.058e-3	-3.4268
1527	2	2619515	-216	-8.246e-5	-0.2669
1529	2	2616089	1568	5.994e-4	1.9389
1531	1	1306335	710	5.435e-4	0.8785
1533	3	5218525	-3540	-6.784e-4	-4.3830
1534	3	2607562	365	1.400e-4	0.4521
1535	2	2605862	-1347	-5.169e-4	-1.6689
1537	2	2602473	232	8.915e-5	0.2876
1538	2	1300391	526	4.045e-4	0.6523
1541	2	2595718	1099	4.234e-4	1.3643
1542	3	2594034	1431	5.517e-4	1.7770
1543	1	1296177	280	2.160e-4	0.3478
1545	3	5177994	-2193	-4.235e-4	-2.7259
1546	2	1293661	270	2.087e-4	0.3357
1547	3	5171299	3058	5.913e-4	3.8035
1549	1	1291155	-282	-2.184e-4	-0.3510
1551	3	5157962	-1415	-2.743e-4	-1.7622
1553	1	1287831	976	7.579e-4	1.2163
1554	4	5148004	-419	-8.139e-5	-0.5223
1555	2	2572347	3382	1.315e-3	4.2173
1558	3	2567394	225	8.764e-5	0.2808
1559	1	1282873	1164	9.073e-4	1.4534
1561	2	2562459	342	1.335e-4	0.4273
1562	3	2560819	676	2.640e-4	0.8449
1563	2	2559181	3728	1.457e-3	4.6607
1565	2	2555910	-2507	-9.809e-4	-3.1363
1567	1	1276325	220	1.724e-4	0.2754
1569	2	2549394	-1003	-3.934e-4	-1.2564
1570	3	2547771	-2868	-1.126e-3	-3.5936
1571	1	1273075	536	4.210e-4	0.6718
1574	2	1270649	-74	-5.824e-5	-0.0928
1577	2	2536462	-1567	-6.178e-4	-1.9678
1578	3	2534854	-431	-1.700e-4	-0.5414
1579	1	1266625	1146	9.048e-4	1.4400
1581	3	5060089	-1050	-2.075e-4	-1.3202
1582	3	2528446	-359	-1.420e-4	-0.4515
1583	1	1263423	740	5.857e-4	0.9310
1585	2	2523659	-4140	-1.640e-3	-5.2121
1586	3	2522069	-816	-3.235e-4	-1.0276
1589	2	2517307	-682	-2.709e-4	-0.8597
1590	4	5031446	1193	2.371e-4	1.5043
1591	2	2514142	-2811	-1.118e-3	-3.5457
1594	2	1254705	260	2.072e-4	0.3283
1595	3	5015674	-843	-1.681e-4	-1.0647
1597	1	1252349	-114	-9.103e-5	-0.1441
1598	3	2503129	-1264	-5.050e-4	-1.5978
1599	3	5003126	11	2.199e-6	0.0139
1601	1	1249219	860	6.884e-4	1.0882
1603	2	2495322	1067	4.276e-4	1.3509
1605	3	4984423	1238	2.484e-4	1.5684
1606	3	2490661	-28	-1.124e-5	-0.0355
1607	1	1244555	2048	1.646e-3	2.5962
1609	1	1243009	-18	-1.448e-5	-0.0228
1610	4	4968945	-3482	-7.008e-4	-4.4182
1613	1	1239925	1974	1.592e-3	2.5071
1614	3	2478315	958	3.866e-4	1.2171
1615	3	4953561	106	2.140e-5	0.1347
1618	2	1236093	-1274	-1.031e-3	-1.6205
1619	1	1235331	1752	1.418e-3	2.2292
1621	1	1233807	194	1.572e-4	0.2470
1622	2	1233045	-94	-7.623e-5	-0.1197
1623	2	2464571	-170	-6.898e-5	-0.2166
1626	3	2460025	288	1.171e-4	0.3672
1627	1	1229257	902	7.338e-4	1.1505
1630	3	2453987	1610	6.561e-4	2.0555
1631	2	2452482	-453	-1.847e-4	-0.5785
