# N=1000000000 D=10000 squarefree_d=6083 time=27.9s (table 13.2s)
# pi_2(N)=3424506  x/log^2x=2328539.5
# sum_{d<=D sqfree} |Lambda_d| = 5663877  ratio to x/log^2x = 2.4324  ratio to pi_2 = 1.6539
# max |Lambda_d|/A_d = 5.145e-3 at d=9598   max |Lambda_d| = 26570 at d=5
# d	omega	A_d	Lambda_d	Lambda_d/A_d	Lambda_d*sqrt(d/x)
4811	2	831427	954	1.147e-3	2.0925
4813	1	415541	72	1.733e-4	0.1580
4814	3	830910	497	5.981e-4	1.0905
4817	1	415197	198	4.769e-4	0.4346
4818	4	1660441	-886	-5.336e-4	-1.9448
4819	2	830047	158	1.904e-4	0.3468
4821	2	829703	2722	3.281e-3	5.9766
4822	2	414765	-588	-1.418e-3	-1.2912
4823	3	1658719	1260	7.596e-4	2.7671
4826	3	828843	-204	-2.461e-4	-0.4482
4827	2	828673	-986	-1.190e-3	-2.1663
4829	2	828330	-409	-4.938e-4	-0.8988
4830	5	3312630	-3551	-1.072e-3	-7.8041
4831	1	413993	-846	-2.044e-3	-1.8595
4834	2	413737	-502	-1.213e-3	-1.1037
4835	2	827302	-1393	-1.684e-3	-3.0630
4837	2	826958	-1731	-2.093e-3	-3.8070
4838	3	826787	-1066	-1.289e-3	-2.3447
4839	2	826617	1626	1.967e-3	3.5768
4841	2	826274	-513	-6.209e-4	-1.1287
4843	2	825934	-303	-3.669e-4	-0.6668
4845	4	3302374	707	2.141e-4	1.5562
4846	2	412711	58	1.405e-4	0.1277
4847	2	825253	-512	-6.204e-4	-1.1272
4849	2	824913	842	1.021e-3	1.8541
4853	2	824233	1188	1.441e-3	2.6171
4854	3	824062	-125	-1.517e-4	-0.2754
4855	2	823893	1414	1.716e-3	3.1156
4857	2	823554	2181	2.648e-3	4.8066
4858	3	823385	1128	1.370e-3	2.4862
4859	2	823215	736	8.941e-4	1.6224
4861	1	411437	778	1.891e-3	1.7153
4862	4	1645413	-1486	-9.031e-4	-3.2766
4863	2	822538	-765	-9.300e-4	-1.6870
4865	3	1644397	924	5.619e-4	2.0380
4866	3	822030	-157	-1.910e-4	-0.3463
4867	2	821862	887	1.079e-3	1.9568
4870	3	821355	-1068	-1.300e-3	-2.3569
4871	1	410593	256	6.235e-4	0.5650
4873	2	820850	843	1.027e-3	1.8609
4874	2	410341	-360	-8.773e-4	-0.7948
4877	1	410089	-268	-6.535e-4	-0.5918
4879	3	1639681	-1306	-7.965e-4	-2.8848
4881	2	819505	-10	-1.220e-5	-0.0221
4882	2	409669	476	1.162e-3	1.0517
4883	2	819169	-542	-6.616e-4	-1.1977
4885	2	818834	769	9.391e-4	1.6996
4886	3	818666	-319	-3.897e-4	-0.7051
4889	1	409081	-352	-8.605e-4	-0.7783
4890	4	1635991	-104	-6.357e-5	-0.2300
4891	2	817829	76	9.293e-5	0.1681
4893	3	1634988	-225	-1.376e-4	-0.4977
4894	2	408663	-852	-2.085e-3	-1.8848
4895	3	1634321	-1140	-6.975e-4	-2.5222
4897	2	816826	871	1.066e-3	1.9275
4898	3	816659	-1042	-1.276e-3	-2.3061
4899	3	1632986	-1189	-7.281e-4	-2.6317
4902	4	1631988	411	2.518e-4	0.9100
4903	1	407913	286	7.011e-4	0.6333
4906	3	815329	-410	-5.029e-4	-0.9081
4907	2	815162	109	1.337e-4	0.2415
4909	1	407415	158	3.878e-4	0.3501
4910	3	814663	344	4.223e-4	0.7623
4911	2	814498	1865	2.290e-3	4.1330
4915	2	813835	-818	-1.005e-3	-1.8135
4917	3	1627009	-70	-4.302e-5	-0.1552
4918	2	406669	-436	-1.072e-3	-0.9669
4919	1	406587	-608	-1.495e-3	-1.3485
4921	3	1625686	-731	-4.497e-4	-1.6216
4922	3	812678	593	7.297e-4	1.3156
4926	3	812018	-669	-8.239e-4	-1.4848
4927	2	811854	27	3.326e-5	0.0599
4929	3	1623047	464	2.859e-4	1.0301
4930	4	1622718	-1117	-6.884e-4	-2.4801
4931	1	405597	-142	-3.501e-4	-0.3153
4933	1	405433	170	4.193e-4	0.3776
4934	2	405351	-22	-5.427e-5	-0.0489
4935	4	3242149	-2486	-7.668e-4	-5.5226
4937	1	405105	58	1.432e-4	0.1289
4938	3	810045	-266	-3.284e-4	-0.5911
4939	2	809882	-879	-1.085e-3	-1.9535
4942	3	809389	-204	-2.520e-4	-0.4535
4943	1	404613	-170	-4.202e-4	-0.3780
4945	3	1617796	-1743	-1.077e-3	-3.8760
4946	2	404367	-878	-2.171e-3	-1.9526
4947	3	1617142	609	3.766e-4	1.3545
4951	1	403959	-34	-8.417e-5	-0.0757
4953	3	1615183	-1064	-6.587e-4	-2.3680
4954	2	403715	-1088	-2.695e-3	-2.4216
4955	2	807265	84	1.041e-4	0.1870
4957	1	403469	340	8.427e-4	0.7570
4958	3	806777	-158	-1.958e-4	-0.3518
4962	3	806126	229	2.841e-4	0.5101
4963	2	805965	562	6.973e-4	1.2520
4965	3	1611279	-480	-2.979e-4	-1.0695
4966	3	805478	103	1.279e-4	0.2295
4967	1	402657	-256	-6.358e-4	-0.5705
4969	1	402495	42	1.043e-4	0.0936
4970	4	1609658	739	4.591e-4	1.6475
4971	2	804667	-890	-1.106e-3	-1.9843
4973	1	402171	146	3.630e-4	0.3256
4974	3	804182	-669	-8.319e-4	-1.4920
4978	3	803535	440	5.476e-4	0.9817
4979	2	803374	-405	-5.041e-4	-0.9037
4981	2	803051	-924	-1.151e-3	-2.0622
4982	3	802890	375	4.671e-4	0.8370
4983	3	1605458	-1181	-7.356e-4	-2.6363
4985	2	802407	-1738	-2.166e-3	-3.8805
4987	1	401043	528	1.317e-3	1.1791
4989	2	801763	-438	-5.463e-4	-0.9783
4990	3	801603	128	1.597e-4	0.2859
4991	3	1602885	-1012	-6.314e-4	-2.2609
4993	1	400561	158	3.944e-4	0.3531
4994	3	800962	305	3.808e-4	0.6816
4997	2	800481	580	7.246e-4	1.2965
4999	1	400081	702	1.755e-3	1.5696
5001	2	799841	1458	1.823e-3	3.2605
5002	3	799681	932	1.165e-3	2.0844
5003	1	399761	18	4.503e-5	0.0403
5005	4	3196803	-866	-2.709e-4	-1.9374
5006	2	399521	-456	-1.141e-3	-1.0203
5007	2	798882	-749	-9.376e-4	-1.6760
5009	1	399281	914	2.289e-3	2.0456
5010	4	1596806	195	1.221e-4	0.4365
5011	1	399121	688	1.724e-3	1.5401
5014	3	797766	165	2.068e-4	0.3695
5015	3	1595213	-1004	-6.294e-4	-2.2484
5017	2	797290	-755	-9.470e-4	-1.6911
5018	3	797131	-70	-8.781e-5	-0.1568
5019	3	1593943	686	4.304e-4	1.5369
5021	1	398327	692	1.737e-3	1.5506
5023	1	398169	470	1.180e-3	1.0534
5026	3	795861	-1284	-1.613e-3	-2.8786
5027	2	795703	638	8.018e-4	1.4305
5029	2	795386	-1779	-2.237e-3	-3.9895
5030	3	795229	-1348	-1.695e-3	-3.0232
5033	2	794754	113	1.422e-4	0.2535
5034	3	794597	74	9.313e-5	0.1660
5035	3	1588876	-69	-4.343e-5	-0.1548
5037	3	1588247	-1650	-1.039e-3	-3.7031
5038	3	793966	-1197	-1.508e-3	-2.6867
5039	1	396905	-172	-4.334e-4	-0.3861
5042	2	396667	16	4.034e-5	0.0359
5045	2	792865	364	4.591e-4	0.8176
5051	1	395961	432	1.091e-3	0.9709
5053	2	791609	1136	1.435e-3	2.5536
5055	3	1582591	-3992	-2.522e-3	-8.9753
5057	2	790982	773	9.773e-4	1.7383
5059	1	395335	-200	-5.059e-4	-0.4498
5061	3	1580716	-539	-3.410e-4	-1.2126
5062	2	395101	-562	-1.422e-3	-1.2644
5063	2	790046	1407	1.781e-3	3.1659
5065	2	789734	-269	-3.406e-4	-0.6054
5066	3	789578	129	1.634e-4	0.2904
5069	2	789111	998	1.265e-3	2.2469
5071	2	788798	-351	-4.450e-4	-0.7904
5073	3	1576977	-456	-2.892e-4	-1.0271
5074	3	788333	216	2.740e-4	0.4866
5077	1	393933	574	1.457e-3	1.2933
5078	2	393855	64	1.625e-4	0.1442
5079	2	787557	-666	-8.457e-4	-1.5009
5081	1	393623	-214	-5.437e-4	-0.4824
5083	3	1573874	-507	-3.221e-4	-1.1431
5086	2	393237	-330	-8.392e-4	-0.7442
5087	1	393159	-220	-5.596e-4	-0.4962
5089	2	786009	-720	-9.160e-4	-1.6242
5090	3	785854	-17	-2.163e-5	-0.0384
5091	2	785701	660	8.400e-4	1.4892
5093	2	785391	-36	-4.584e-5	-0.0812
5095	2	785083	874	1.113e-3	1.9728
5097	2	784775	-1328	-1.692e-3	-2.9982
5098	2	392311	36	9.176e-5	0.0813
5099	1	392233	-336	-8.566e-4	-0.7587
5101	1	392079	1046	2.668e-3	2.3624
5102	2	392003	82	2.092e-4	0.1852
5105	2	783545	1452	1.853e-3	3.2807
5106	4	1566785	-908	-5.795e-4	-2.0518
5107	1	391619	-350	-8.937e-4	-0.7910
5109	3	1565865	-1688	-1.078e-3	-3.8154
5110	4	1565557	-296	-1.891e-4	-0.6691
5111	2	782626	245	3.130e-4	0.5539
5113	1	391159	-356	-9.101e-4	-0.8050
5114	2	391083	60	1.534e-4	0.1357
5115	4	3128054	-1841	-5.885e-4	-4.1637
5117	3	1563417	-854	-5.462e-4	-1.9318
5118	3	781555	-708	-9.059e-4	-1.6017
5119	1	390701	-22	-5.631e-5	-0.0498
5122	3	780945	-1636	-2.095e-3	-3.7026
5123	2	780794	-685	-8.773e-4	-1.5504
5126	3	780335	200	2.563e-4	0.4528
5127	2	780183	744	9.536e-4	1.6846
5129	2	779878	95	1.218e-4	0.2151
5131	2	779574	-611	-7.838e-4	-1.3840
5133	3	1558543	506	3.247e-4	1.1464
5134	3	779119	236	3.029e-4	0.5347
5135	3	1557935	1808	1.161e-3	4.0970
5137	2	778665	442	5.676e-4	1.0018
5138	3	778513	1386	1.780e-3	3.1417
5141	2	778058	631	8.110e-4	1.4307
5142	3	777907	274	3.522e-4	0.6213
5143	2	777757	-716	-9.206e-4	-1.6238
5146	3	777302	-271	-3.486e-4	-0.6148
5147	1	388575	492	1.266e-3	1.1162
5149	2	776850	-191	-2.459e-4	-0.4334
5151	3	1553098	2133	1.373e-3	4.8410
5153	1	388123	-280	-7.214e-4	-0.6356
5154	3	776097	-904	-1.165e-3	-2.0523
5155	2	775946	1653	2.130e-3	3.7531
5158	2	387747	-800	-2.063e-3	-1.8169
5159	3	1550689	372	2.399e-4	0.8449
5161	2	775043	-1742	-2.248e-3	-3.9574
5162	3	774893	1234	1.592e-3	2.8037
5163	2	774743	1294	1.670e-3	2.9403
5165	2	774443	-350	-4.519e-4	-0.7954
5167	1	387071	436	1.126e-3	0.9911
5169	2	773845	-892	-1.153e-3	-2.0280
5170	4	1547388	767	4.957e-4	1.7440
5171	1	386773	728	1.882e-3	1.6555
5173	2	773245	-506	-6.544e-4	-1.1509
5174	3	773097	866	1.120e-3	1.9698
5177	2	772649	900	1.165e-3	2.0478
5178	3	772499	700	9.062e-4	1.5929
5179	1	386175	-480	-1.243e-3	-1.0924
5181	3	1544103	-2908	-1.883e-3	-6.6191
5182	2	385951	468	1.213e-3	1.0654
5183	2	771754	-475	-6.155e-4	-1.0814
5185	3	1542913	144	9.333e-5	0.3279
5186	2	385653	-208	-5.393e-4	-0.4737
5187	4	3084635	-250	-8.105e-5	-0.5694
5189	1	385431	58	1.505e-4	0.1321
5190	4	1541427	-96	-6.228e-5	-0.2187
5191	2	770565	650	8.435e-4	1.4809
5195	2	769971	1098	1.426e-3	2.5026
5197	1	384837	138	3.586e-4	0.3146
5198	3	769527	438	5.692e-4	0.9986
5199	2	769379	540	7.019e-4	1.2313
5201	2	769083	-102	-1.326e-4	-0.2326
5205	3	1536983	60	3.904e-5	0.1369
5206	3	768345	-914	-1.190e-3	-2.0854
5207	2	768197	-1456	-1.895e-3	-3.3224
5209	1	383951	718	1.870e-3	1.6387
5210	3	767754	1239	1.614e-3	2.8281
5213	2	767314	-1551	-2.021e-3	-3.5412
5214	4	1534331	-1520	-9.907e-4	-3.4708
5215	3	1534036	2347	1.530e-3	5.3597
5217	3	1533449	-2534	-1.652e-3	-5.7878
5218	2	383289	-28	-7.305e-5	-0.0640
5219	2	766430	-229	-2.988e-4	-0.5232
5221	2	766137	-1152	-1.504e-3	-2.6323
5222	3	765990	-71	-9.269e-5	-0.1622
5223	2	765843	242	3.160e-4	0.5531
5226	4	1530807	2256	1.474e-3	5.1573
5227	1	382629	386	1.009e-3	0.8825
5230	3	764818	-1277	-1.670e-3	-2.9204
5231	1	382337	12	3.139e-5	0.0274
5233	1	382189	44	1.151e-4	0.1007
5234	2	382117	44	1.151e-4	0.1007
5235	3	1528175	478	3.128e-4	1.0937
5237	1	381899	288	7.541e-4	0.6591
5241	2	763213	-184	-2.411e-4	-0.4212
5242	2	381533	684	1.793e-3	1.5660
5245	2	762631	1326	1.739e-3	3.0368
5246	3	762486	319	4.184e-4	0.7306
5249	2	762050	-545	-7.152e-4	-1.2486
5251	2	761758	-843	-1.107e-3	-1.9317
5253	3	1522940	-4339	-2.849e-3	-9.9447
5254	3	761325	458	6.016e-4	1.0498
5255	2	761179	396	5.202e-4	0.9078
5257	2	760890	-473	-6.216e-4	-1.0845
5258	3	760746	559	7.348e-4	1.2818
5259	2	760601	-1462	-1.922e-3	-3.3527
5261	1	380155	1012	2.662e-3	2.3212
5262	3	760167	-1408	-1.852e-3	-3.2298
5263	2	760022	935	1.230e-3	2.1450
5266	2	379795	140	3.686e-4	0.3213
5267	2	759446	-1339	-1.763e-3	-3.0730
5269	2	759157	1014	1.336e-3	2.3276
5270	4	1518026	1089	7.174e-4	2.5000
5271	3	1517738	-1843	-1.214e-3	-4.2313
5273	1	379291	-146	-3.849e-4	-0.3353
5277	2	758006	309	4.076e-4	0.7098
5278	4	1515725	1200	7.917e-4	2.7569
5279	1	378859	680	1.795e-3	1.5624
5281	1	378717	394	1.040e-3	0.9054
5282	3	757290	-249	-3.288e-4	-0.5723
5285	3	1513717	1384	9.143e-4	3.1817
5286	3	756715	912	1.205e-3	2.0968
5287	2	756574	-397	-5.247e-4	-0.9128
5289	3	1512572	-1535	-1.015e-3	-3.5302
5291	3	1512002	-117	-7.738e-5	-0.2691
5293	2	755714	647	8.561e-4	1.4885
5294	2	377787	-310	-8.206e-4	-0.7133
5295	3	1510860	-863	-5.712e-4	-1.9858
5297	1	377573	74	1.960e-4	0.1703
5298	3	755002	-1217	-1.612e-3	-2.8012
5299	2	754859	266	3.524e-4	0.6123
5302	3	754433	510	6.760e-4	1.1743
5303	1	377145	24	6.364e-5	0.0553
5305	2	754006	1363	1.808e-3	3.1393
5306	3	753863	-628	-8.330e-4	-1.4466
5307	3	1507444	1013	6.720e-4	2.3336
5309	1	376719	154	4.088e-4	0.3548
5311	2	753154	-199	-2.642e-4	-0.4586
5313	4	3011482	-6341	-2.106e-3	-14.6160
5314	2	376365	-460	-1.222e-3	-1.0604
5315	2	752586	-41	-5.448e-5	-0.0945
5317	2	752303	96	1.276e-4	0.2214
5318	2	376081	318	8.456e-4	0.7333
5321	2	751739	-238	-3.166e-4	-0.5490
5322	3	751597	-104	-1.384e-4	-0.2399
5323	1	375727	204	5.429e-4	0.4707
5326	2	375517	328	8.735e-4	0.7570
5327	2	750891	-474	-6.313e-4	-1.0940
5330	4	1500937	352	2.345e-4	0.8127
5331	2	750329	-510	-6.797e-4	-1.1775
5333	1	375023	-292	-7.786e-4	-0.6743
5334	4	1499812	2277	1.518e-3	5.2588
5335	3	1499532	-1125	-7.502e-4	-2.5985
5338	3	749345	130	1.735e-4	0.3004
5339	2	749203	-1728	-2.306e-3	-3.9928
5342	2	374391	274	7.319e-4	0.6333
5343	3	1497286	-447	-2.985e-4	-1.0332
5345	2	748363	782	1.045e-3	1.8079
5347	1	374041	44	1.176e-4	0.1017
5349	2	747803	224	2.995e-4	0.5181
5351	1	373761	-312	-8.348e-4	-0.7217
5353	2	747245	1874	2.508e-3	4.3358
5354	2	373553	-464	-1.242e-3	-1.0736
5357	2	746686	-133	-1.781e-4	-0.3078
5358	4	1493095	-244	-1.634e-4	-0.5648
5359	2	746407	1454	1.948e-3	3.3659
5361	2	746130	117	1.568e-4	0.2709
5362	3	745991	46	6.166e-5	0.1065
5363	2	745851	-942	-1.263e-3	-2.1815
5365	3	1491146	2083	1.397e-3	4.8247
5366	2	372717	58	1.556e-4	0.1344
5367	2	745295	-910	-1.221e-3	-2.1082
5369	3	1490035	-186	-1.248e-4	-0.4310
5370	4	1489758	2415	1.621e-3	5.5963
5371	2	744741	-1236	-1.660e-3	-2.8645
5374	2	372163	538	1.446e-3	1.2472
5377	2	743910	-1081	-1.453e-3	-2.5067
5378	2	371885	138	3.711e-4	0.3200
5379	3	1487266	611	4.108e-4	1.4171
5381	1	371679	454	1.221e-3	1.0531
5383	2	743081	-144	-1.938e-4	-0.3341
5385	3	1485609	2480	1.669e-3	5.7550
5386	2	371333	-490	-1.320e-3	-1.1372
5387	1	371265	348	9.373e-4	0.8077
5389	2	742253	572	7.706e-4	1.3279
5393	1	370851	582	1.569e-3	1.3516
5394	4	1483131	552	3.722e-4	1.2820
5395	3	1482854	-297	-2.003e-4	-0.6898
5397	3	1482305	-612	-4.129e-4	-1.4218
5398	2	370507	-598	-1.614e-3	-1.3894
5399	1	370439	-80	-2.160e-4	-0.1859
5401	2	740603	-320	-4.321e-4	-0.7437
5402	3	740466	941	1.271e-3	2.1871
5403	2	740330	-489	-6.605e-4	-1.1366
5405	3	1480111	-114	-7.702e-5	-0.2650
5406	4	1479837	2210	1.493e-3	5.1384
5407	1	369891	-744	-2.011e-3	-1.7300
5410	3	739371	2124	2.873e-3	4.9403
5411	2	739235	542	7.332e-4	1.2608
5413	1	369481	198	5.359e-4	0.4607
5414	2	369413	184	4.981e-4	0.4281
5417	1	369209	-1370	-3.711e-3	-3.1886
5419	1	369071	-64	-1.734e-4	-0.1490
5421	3	1475741	1846	1.251e-3	4.2980
5422	2	368867	-276	-7.482e-4	-0.6427
5423	3	1475198	-1003	-6.799e-4	-2.3357
5426	2	368595	240	6.511e-4	0.5591
5429	2	736783	-808	-1.097e-3	-1.8827
5430	4	1473297	362	2.457e-4	0.8435
5431	1	368257	580	1.575e-3	1.3517
5433	2	736242	827	1.123e-3	1.9276
5434	4	1472212	-353	-2.398e-4	-0.8229
5435	2	735970	-197	-2.677e-4	-0.4593
5437	1	367849	-344	-9.352e-4	-0.8021
5438	2	367783	-210	-5.710e-4	-0.4897
5441	1	367579	68	1.850e-4	0.1586
5442	3	735023	-150	-2.041e-4	-0.3499
5443	1	367445	220	5.987e-4	0.5133
5446	3	734485	-840	-1.144e-3	-1.9603
5447	2	734349	1196	1.629e-3	2.7913
5449	1	367039	228	6.212e-4	0.5322
5451	3	1467620	-243	-1.656e-4	-0.5673
5453	3	1467084	-1979	-1.349e-3	-4.6213
5455	2	733273	628	8.564e-4	1.4668
5457	3	1466006	2853	1.946e-3	6.6647
5458	2	366435	-178	-4.858e-4	-0.4159
5459	2	732735	-58	-7.916e-5	-0.1355
5461	2	732466	229	3.126e-4	0.5351
5462	2	366167	-202	-5.517e-4	-0.4721
5465	2	731930	-1483	-2.026e-3	-3.4669
5466	3	731797	-664	-9.074e-4	-1.5524
5467	3	1463326	691	4.722e-4	1.6157
5469	2	731395	874	1.195e-3	2.0439
5470	3	731261	-1620	-2.215e-3	-3.7889
5471	1	365563	284	7.769e-4	0.6643
5473	2	730861	224	3.065e-4	0.5240
5474	4	1461453	-54	-3.695e-5	-0.1263
5477	1	365163	-214	-5.860e-4	-0.5008
5478	4	1460388	1433	9.812e-4	3.3540
5479	1	365031	110	3.013e-4	0.2575
5482	2	364831	312	8.552e-4	0.7305
5483	1	364763	-2	-5.483e-6	-0.0047
5485	2	729262	-1149	-1.576e-3	-2.6910
5486	3	729129	-456	-6.254e-4	-1.0681
5487	3	1457991	-1794	-1.230e-3	-4.2023
5489	2	728731	-1452	-1.993e-3	-3.4018
5493	2	728199	-1102	-1.513e-3	-2.5828
5494	3	728067	498	6.840e-4	1.1673
5495	3	1455869	-1672	-1.148e-3	-3.9194
5497	2	727669	1774	2.438e-3	4.1593
5498	2	363769	500	1.374e-3	1.1724
5501	1	363571	-108	-2.971e-4	-0.2533
5502	4	1454017	582	4.003e-4	1.3652
5503	1	363439	194	5.338e-4	0.4551
5505	3	1453225	-2068	-1.423e-3	-4.8521
5506	2	363241	-842	-2.318e-3	-1.9757
5507	1	363175	-292	-8.040e-4	-0.6852
5509	2	726085	518	7.134e-4	1.2158
5510	4	1451906	-969	-6.674e-4	-2.2746
5511	3	1451642	1029	7.089e-4	2.4156
5513	2	725558	1517	2.091e-3	3.5619
5514	3	725426	-351	-4.839e-4	-0.8242
5515	2	725294	-1411	-1.945e-3	-3.3136
5518	3	724901	758	1.046e-3	1.7806
5519	1	362385	272	7.506e-4	0.6390
5521	1	362253	442	1.220e-3	1.0386
5522	3	724375	-436	-6.019e-4	-1.0246
5523	3	1448489	-780	-5.385e-4	-1.8331
5527	1	361859	2	5.527e-6	0.0047
5529	3	1446916	413	2.854e-4	0.9711
5530	4	1446654	1515	1.047e-3	3.5627
5531	1	361599	340	9.403e-4	0.7996
5533	2	722935	-414	-5.727e-4	-0.9738
5534	2	361403	-594	-1.644e-3	-1.3974
5538	4	1444564	-1667	-1.154e-3	-3.9229
5539	2	722153	-682	-9.444e-4	-1.6051
5541	2	721891	1202	1.665e-3	2.8294
5542	3	721761	90	1.247e-4	0.2119
5543	2	721630	491	6.804e-4	1.1560
5545	2	721371	330	4.575e-4	0.7771
5546	3	721242	-301	-4.173e-4	-0.7089
5549	2	720851	-266	-3.690e-4	-0.6266
5551	3	1441180	73	5.065e-5	0.1720
5554	2	360101	-270	-7.498e-4	-0.6363
5555	3	1440145	90	6.249e-5	0.2121
5557	1	359907	238	6.613e-4	0.5610
5558	3	719683	426	5.919e-4	1.0043
5559	3	1439107	1784	1.240e-3	4.2062
5561	2	719295	-218	-3.031e-4	-0.5141
5563	1	359519	318	8.845e-4	0.7500
5565	4	2875112	1431	4.977e-4	3.3758
5567	2	718519	-34	-4.732e-5	-0.0802
5569	1	359131	172	4.789e-4	0.4059
5570	3	718133	-2028	-2.824e-3	-4.7863
5573	1	358873	676	1.884e-3	1.5958
5574	3	717618	1343	1.871e-3	3.1707
5578	2	358551	-100	-2.789e-4	-0.2362
5579	2	716974	-929	-1.296e-3	-2.1943
5581	1	358359	184	5.135e-4	0.4347
5582	2	358295	628	1.753e-3	1.4837
5583	2	716461	-492	-6.867e-4	-1.1625
5585	2	716205	-1272	-1.776e-3	-3.0061
5587	2	715947	2560	3.576e-3	6.0510
5590	4	1431126	-1355	-9.468e-4	-3.2037
5591	1	357717	166	4.641e-4	0.3925
5593	3	1430359	-1058	-7.397e-4	-2.5021
5594	2	357525	-644	-1.801e-3	-1.5232
5595	3	1429849	-1944	-1.360e-3	-4.5983
5597	2	714669	-424	-5.933e-4	-1.0031
5599	2	714414	-737	-1.032e-3	-1.7439
5601	2	714158	427	5.979e-4	1.0106
5602	2	357015	-588	-1.647e-3	-1.3917
5603	2	713902	-743	-1.041e-3	-1.7587
5605	3	1427297	270	1.892e-4	0.6392
5606	2	356761	158	4.429e-4	0.3741
5609	2	713139	-204	-2.861e-4	-0.4831
5610	5	2852049	1288	4.516e-4	3.0507
5611	2	712885	1264	1.773e-3	2.9941
5613	2	712631	758	1.064e-3	1.7958
5614	3	712505	-392	-5.502e-4	-0.9288
5615	2	712378	-365	-5.124e-4	-0.8649
5617	2	712123	-702	-9.858e-4	-1.6638
5619	2	711870	-295	-4.144e-4	-0.6993
5621	3	1423234	-1083	-7.609e-4	-2.5676
5622	3	711490	-1227	-1.725e-3	-2.9093
5623	1	355683	88	2.474e-4	0.2087
5626	3	710986	69	9.705e-5	0.1637
5627	2	710858	-511	-7.188e-4	-1.2122
5629	2	710605	404	5.685e-4	0.9585
5630	3	710479	-1592	-2.241e-3	-3.7774
5631	2	710354	1	1.408e-6	0.0024
5633	2	710102	-363	-5.112e-4	-0.8615
5637	2	709597	142	2.001e-4	0.3371
5638	2	354735	358	1.009e-3	0.8501
5639	1	354673	-738	-2.081e-3	-1.7525
5641	1	354547	278	7.841e-4	0.6603
5642	4	1417937	-704	-4.965e-4	-1.6722
5645	2	708591	1450	2.046e-3	3.4451
5646	3	708466	-141	-1.990e-4	-0.3350
5647	1	354171	106	2.993e-4	0.2519
5649	3	1416180	-591	-4.173e-4	-1.4047
5651	1	353919	-316	-8.929e-4	-0.7512
5653	1	353795	302	8.536e-4	0.7180
5654	3	707463	-1164	-1.645e-3	-2.7678
5655	4	2829354	1939	6.853e-4	4.6110
5657	1	353545	582	1.646e-3	1.3843
5658	4	1413927	1238	8.756e-4	2.9448
5659	1	353419	88	2.490e-4	0.2093
5662	3	706465	-534	-7.559e-4	-1.2707
5663	2	706339	-52	-7.362e-5	-0.1237
5665	3	1412180	481	3.406e-4	1.1448
5666	2	352983	-440	-1.247e-3	-1.0473
5667	2	705841	-504	-7.140e-4	-1.1998
5669	1	352795	-268	-7.596e-4	-0.6381
5671	2	705342	307	4.352e-4	0.7311
5673	3	1410188	413	2.929e-4	0.9837
5674	2	352485	-182	-5.163e-4	-0.4335
5677	2	704598	-1089	-1.546e-3	-2.5947
5678	3	704473	-64	-9.085e-5	-0.1525
5681	3	1408202	387	2.748e-4	0.9224
5682	3	703978	415	5.895e-4	0.9892
5683	1	351927	536	1.523e-3	1.2778
5685	3	1407212	485	3.447e-4	1.1564
5686	2	351741	-456	-1.296e-3	-1.0873
5689	1	351555	68	1.934e-4	0.1622
5690	3	702987	1364	1.940e-3	3.2536
5691	3	1405729	966	6.872e-4	2.3045
5693	1	351309	776	2.209e-3	1.8515
5694	4	1404988	-727	-5.174e-4	-1.7348
5695	3	1404741	-770	-5.481e-4	-1.8375
5698	4	1404002	921	6.560e-4	2.1985
5699	2	701878	251	3.576e-4	0.5992
5701	1	350815	442	1.260e-3	1.0554
5702	2	350755	-340	-9.693e-4	-0.8119
5703	2	701385	332	4.733e-4	0.7928
5705	3	1402279	1396	9.955e-4	3.3344
5707	2	700894	445	6.349e-4	1.0631
5709	3	1401297	-642	-4.581e-4	-1.5340
5710	3	700526	291	4.154e-4	0.6954
5711	1	350201	-66	-1.885e-4	-0.1577
5713	2	700158	-277	-3.956e-4	-0.6621
5714	2	350017	-320	-9.142e-4	-0.7649
5717	1	349833	16	4.574e-5	0.0383
5718	3	699545	-654	-9.349e-4	-1.5639
5719	3	1398846	1389	9.930e-4	3.3217
5721	2	699178	1697	2.427e-3	4.0590
5722	2	349529	-206	-5.894e-4	-0.4928
5723	2	698935	-362	-5.179e-4	-0.8660
5726	3	698567	534	7.644e-4	1.2778
5727	3	1396892	-161	-1.153e-4	-0.3853
5729	2	698202	195	2.793e-4	0.4667
5730	4	1396161	1222	8.753e-4	2.9252
5731	2	697959	-532	-7.622e-4	-1.2736
5734	3	697594	173	2.480e-4	0.4143
5735	3	1394942	1393	9.986e-4	3.3359
5737	1	348615	630	1.807e-3	1.5090
5738	3	697106	1419	2.036e-3	3.3991
5739	2	696986	829	1.189e-3	1.9860
5741	1	348371	122	3.502e-4	0.2923
5743	1	348251	-276	-7.925e-4	-0.6614
5745	3	1392516	391	2.808e-4	0.9372
5747	2	696014	1327	1.907e-3	3.1812
5749	1	347887	98	2.817e-4	0.2350
5753	2	695289	248	3.567e-4	0.5948
5754	4	1390338	-1171	-8.422e-4	-2.8089
5755	2	695047	1154	1.660e-3	2.7684
5757	3	1389612	-593	-4.267e-4	-1.4228
5758	2	347343	-108	-3.109e-4	-0.2592
5759	2	694566	519	7.472e-4	1.2455
5761	2	694323	1440	2.074e-3	3.4563
