X,U,V,M,N,d_min,d_max,r_min,r_max,interval_convention,log_M_over_log_X,log_N_over_log_X,factor_pairs,nonzero_terms,positive_terms,negative_terms,positive_sum,negative_sum,signed_sum,absolute_sum,shifted_proper_prime_power_signed,shifted_proper_prime_power_absolute,non_squarefree_r_nonzero_terms,distinct_d_nonzero_terms,distinct_r_nonzero_terms,signed_sum_over_CX,applicable_proved_lower_bound,exact_coefficient_sha256,source_commit,script_sha256,binary_hash_sha256,arithmetic_precision
1000,3,3,256,2,257,500,4,4,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.8027466551039498,0.10034333188799373,244,0,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
1000,3,3,256,4,257,500,5,8,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.8027466551039498,0.20068666377598746,250,21,9,12,109.60118778405794,-151.80345210428604,-42.20226432022808,261.404639888344,0.0,0.0,0,19,2,-0.03196357567734368,,da37d4648057d393c73c51c5b86e666778e5c47a06fe04193ea0462c0d3c2854,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
10000,6,6,4,1024,7,8,1025,2048,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.15051499783199057,0.7525749891599529,1418,80,0,80,0.0,-4784.291885573624,-4784.291885573624,4784.291885573624,-68.5049186497143,68.5049186497143,22,1,80,-0.3623575137738187,,843e11502e6734e3821e60f239452ba31ca1c8d197a29ae749b13d5384ec3b97,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
10000,6,6,4,2048,7,8,2049,2857,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.15051499783199057,0.8278324880759482,1261,93,0,93,0.0,-6200.146487280619,-6200.146487280619,6200.146487280619,-38.83805950965458,38.83805950965458,23,1,93,-0.4695929345237076,,ed1848b4224b6189dbf008078162a0a2f38fda6f2a84b7d15acbe520382bbc35,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
10000,6,6,8,512,9,16,513,1024,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.22577249674798586,0.6773174902439576,1652,116,76,40,4266.060902583448,-2202.678235280537,2063.382667302911,6468.739137863986,21.002380740421877,21.002380740421877,24,3,97,0.1562785530586891,,d553e93b51205186498916738ebf18b98998685da3ab97f0d0a9b0485e16fb3d,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
10000,6,6,8,1024,9,16,1025,2048,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.22577249674798586,0.7525749891599529,4802,208,54,154,3350.253632876436,-9247.474389424842,-5897.220756548406,12597.728022301279,0.0,0.0,52,3,173,-0.4466496406629733,,38fdf2d10949d750a1e9e7e22d3facb11ce10e94f4b0f3bac07326de3ad82a0e,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
10000,6,6,8,2048,9,16,2049,2857,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.22577249674798586,0.8278324880759482,174,0,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
10000,6,6,16,256,17,32,257,512,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.30102999566398114,0.6020599913279623,1554,52,7,45,376.6182658495753,-2167.8131526887632,-1791.1948868391878,2544.4314185383387,-26.749505042354073,26.749505042354073,9,4,45,-0.13566332101027417,,9757b1ffd8921777f63c8e4d8d2adfc9592736c0e910fddc136c8cdf0a9f6539,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
10000,6,6,16,512,17,32,513,1024,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.30102999566398114,0.6773174902439576,4958,263,80,183,4372.703855681141,-9690.540981959757,-5317.837126278615,14063.244837640897,-42.28360779360752,42.28360779360752,76,6,169,-0.4027677001779314,,2bb6a88043a71f3487ea9c9f9f822605baf01cf19d03d07884ef829a4e1ebc7f,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
10000,6,6,16,1024,17,32,1025,2048,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.30102999566398114,0.7525749891599529,267,19,0,19,0.0,-1136.9506285991733,-1136.9506285991733,1136.9506285991733,0.0,0.0,7,2,19,-0.08611151094377284,,7de13a92bfadb5de652c9378a40e056a8996052dbf5acea9dbebe1944ee3347a,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
10000,6,6,32,128,33,64,129,256,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.37628749457997646,0.526802492411967,1507,81,43,38,1808.807156302573,-1518.68198956266,290.12516673991314,3327.489145865233,-24.82887465482457,24.82887465482457,13,9,36,0.02197379186250983,,1492396a90da047032008043b3778e7c3d658fc2fc673c671c87e29e164f1de0,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
10000,6,6,32,256,33,64,257,512,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.37628749457997646,0.6020599913279623,5031,296,166,130,8170.324493183147,-6111.810314679235,2058.5141785039123,14282.134807862381,0.0,0.0,70,13,121,0.15590981855434993,,3d9f5ad9f0fc42275feecc4b1ee3a862976ff9eb4994c40605c87a231e5a2258,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
10000,6,6,32,512,33,64,513,1024,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.37628749457997646,0.6773174902439576,314,23,21,2,1111.4705908141789,-97.01578914061665,1014.4548016735622,1208.4863799547954,0.0,0.0,9,3,20,0.07683379872343858,,e3ac8d108bc1c89c4b41dfdd6324426574a210e6fbf256d69b03e6f0f9b4e16c,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
10000,6,6,64,64,65,128,65,128,M < d <= 2M; N < r <= 2N; d > U; r > V; X < dr <= 2X,0.4515449934959717,0.4515449934959717,1492,78,43,35,1601.6299382182413,-1206.3836033965415,395.24633482169963,2808.0135416147828,0.0,0.0,17,19,24,0.029935564685354393,,a38ecb2f446aed17f6804be41c71b6b582b61a66e7a504528092e7f490c1e7b2,5cf66a63bbc33b36f3c8d90373d2f6cce108f72a,6d92bd4abdd650987f66268cf3462c065d0ad0e6e4b4ddd792cdeeef10bb3b03,4d6f5f81a4bca11191c4c7c6b43632694d0a4ce74e068619d8fdc161d469859a,"exact integer coefficients; displayed numbers binary64, not certified intervals"
